"wellN","PN1","PN2","PN3","PN4","PN5","PN6","PN7","PN8","PN9","PN10","PN11","PN12","PN13","PN14","PN15","PN16","PN17","PN18","PN19","PN20","PN21","PN22","PN23","PN24","PN25","PN26","PN27","PN28","PN29","PN30","PN31","PN32","PN33","PN34","PN35","PN36","PN37","PN38","PN39","PN40","PN41","PN42","PN43","PN44","PN45","PN46","PN47","PN48","PN49","PN50","PN51","PN52","PN53","PN54","PN55","PN56","PN57","PN58","PN59","PN60","PN61","PN62","PN63","PN64","PN65","PN66","PN67","PN68","PN69","PN70","PN71","PN72","PN73","PN74","PN75","PN76","PN77","PN78","PN79","PN80","PN81","PN82","PN83","PN84","PN85","PN86"
1,NA,NA,31,91,232,NA,247,259,264,294,NA,434,444,NA,494,NA,533,536,NA,548,567,581,589,632,NA,657,721,730,756,757,NA,1018,1065,1067,1097,1099,1125,NA,1186,1222,1225,1262,1296,1297,1366,1419,1542,1543,1622,1643,1679,1734,1741,1760,1764,1785,1795,1849,NA,1883,NA,1976,2014,2015,NA,2158,2175,2208,2254,2267,2288,NA,2313,2339,2340,2372,2413,2415,2454,2462,2466,2468,2475,2578,NA,NA
2,NA,29,31,NA,232,NA,247,NA,NA,NA,NA,NA,444,NA,NA,498,NA,536,NA,NA,561,574,583,632,NA,NA,721,NA,756,757,NA,1018,1065,NA,NA,1099,NA,NA,NA,NA,1225,1262,1295,1297,NA,1419,1440,NA,NA,1643,1679,1734,NA,NA,1761,1768,NA,1799,NA,1883,NA,1975,NA,NA,NA,NA,NA,2179,2255,2267,NA,NA,NA,2339,2340,2376,2413,NA,NA,NA,NA,NA,NA,2579,NA,NA
3,9,30,32,77,NA,242,NA,259,NA,294,295,NA,NA,481,NA,514,NA,536,NA,548,NA,581,591,594,NA,660,721,738,NA,975,987,1028,NA,1067,NA,NA,1101,1127,1142,NA,1260,NA,1296,1363,1366,1430,1542,1544,1622,NA,NA,NA,NA,1757,1767,NA,1787,1818,NA,1933,1934,NA,1979,2049,NA,2168,NA,2176,NA,NA,NA,2300,NA,NA,2364,NA,2405,NA,NA,NA,NA,NA,NA,2579,NA,NA
4,NA,NA,NA,NA,143,NA,243,NA,264,NA,NA,434,435,NA,NA,NA,533,NA,NA,NA,561,NA,NA,NA,NA,NA,NA,NA,739,NA,NA,NA,1029,NA,1068,1098,NA,NA,NA,NA,NA,1261,NA,NA,NA,NA,1431,NA,NA,1623,1644,1682,1741,NA,NA,1768,NA,NA,NA,NA,NA,1939,NA,NA,NA,NA,2175,NA,2224,2256,2288,NA,2307,2314,NA,2369,NA,2415,NA,2455,2463,NA,2475,2476,2580,2617
5,9,30,32,77,NA,242,NA,259,NA,294,295,NA,NA,481,NA,514,NA,534,NA,548,NA,580,591,593,NA,660,721,738,NA,975,986,1028,NA,1067,NA,NA,1100,1127,1142,NA,1260,NA,1296,1363,1366,1430,1542,1544,1622,NA,NA,NA,NA,1757,1767,NA,1787,1805,NA,1933,1934,NA,1979,2049,NA,2168,NA,2176,NA,NA,NA,NA,NA,NA,2364,NA,2394,NA,NA,NA,NA,NA,NA,2579,NA,NA
6,NA,NA,76,92,NA,233,NA,259,NA,293,426,NA,466,483,484,514,NA,536,547,548,567,581,591,632,644,657,721,735,NA,975,1017,1018,1065,1067,1097,NA,1126,1127,1200,1218,1260,NA,1296,1365,1366,1430,1542,1543,1622,NA,NA,NA,NA,1746,1767,1786,1795,1824,1881,1909,1938,1978,2014,2080,2155,2168,NA,2223,NA,NA,NA,2289,NA,NA,2364,NA,2413,NA,2451,NA,NA,2467,NA,2560,NA,NA
7,NA,NA,37,92,232,NA,247,259,NA,294,NA,434,445,NA,494,NA,533,536,NA,548,567,581,589,632,633,657,721,730,756,772,1017,1018,1065,1067,1097,1099,1125,NA,1200,1222,1242,1262,1296,1297,1366,1427,1542,1543,1622,1643,1677,1734,1741,1760,1767,1786,1795,1850,1870,1883,NA,1977,2014,2015,NA,2156,2175,2211,2254,2267,2288,NA,2313,2339,2340,2365,2413,2415,2454,NA,2466,2468,2475,2559,NA,NA
8,9,30,31,83,232,NA,247,259,NA,294,295,NA,444,483,NA,507,NA,536,NA,NA,567,581,583,632,NA,657,721,738,756,757,1002,1018,1065,1067,NA,1099,1108,NA,1142,NA,1225,1262,1296,1340,NA,1421,1542,1543,1622,NA,1679,NA,NA,1760,1767,1769,NA,1799,NA,1883,1938,1976,2014,2015,NA,2168,NA,2180,2255,2267,NA,NA,NA,NA,2340,2376,2413,NA,NA,NA,NA,NA,NA,2579,NA,NA
9,NA,NA,31,NA,232,NA,247,259,264,294,NA,434,443,NA,495,NA,533,NA,NA,NA,561,581,588,632,NA,NA,NA,730,756,757,NA,1018,1065,1067,1089,1099,NA,NA,1186,1222,1225,1262,NA,1297,NA,1419,1457,NA,1622,1643,1679,1734,1741,1760,1761,1768,NA,1799,NA,1883,NA,1975,NA,2015,NA,2158,2175,2208,2255,2267,2288,NA,2313,2339,2340,2376,2413,2415,2454,2462,2466,2469,2475,2499,2583,2584
10,NA,NA,76,120,NA,233,NA,256,NA,292,426,NA,NA,468,NA,NA,NA,536,547,560,NA,NA,NA,627,656,714,721,735,NA,975,1017,NA,NA,1066,NA,NA,1126,1127,1216,NA,1260,NA,1296,1365,1406,NA,NA,1557,1562,NA,NA,NA,NA,1742,NA,NA,1789,NA,1882,1910,1938,NA,2010,2142,2155,2168,NA,2223,NA,NA,NA,2301,NA,NA,2364,NA,2413,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,30,76,92,NA,233,NA,259,NA,293,426,NA,466,483,NA,514,NA,536,547,548,567,581,591,632,645,669,721,735,NA,975,1017,1025,NA,1067,NA,NA,1126,1127,1169,NA,1260,NA,1296,1364,1366,1430,1542,1555,1572,NA,NA,NA,NA,1742,1767,NA,1794,1824,1882,1910,1938,1978,2014,2143,2155,2168,NA,2223,NA,NA,NA,2297,NA,NA,2364,NA,2413,NA,NA,NA,NA,NA,NA,2560,NA,NA
12,NA,NA,76,102,NA,233,NA,256,NA,292,426,NA,466,483,484,514,NA,536,547,548,567,581,591,632,644,663,721,735,NA,975,1017,1025,NA,1067,NA,NA,1126,1127,1216,1218,1260,NA,1296,1365,1366,1430,1542,1557,1572,NA,NA,NA,NA,1742,1767,NA,1795,1824,1882,1909,1938,1978,2014,2142,2155,2168,NA,2223,NA,NA,NA,2289,NA,NA,2364,NA,2413,NA,2451,NA,NA,2467,NA,2560,NA,NA
13,NA,NA,NA,NA,232,NA,244,259,264,NA,NA,434,435,NA,495,NA,533,NA,NA,NA,561,NA,NA,NA,NA,NA,NA,725,755,757,NA,NA,1041,NA,1081,1098,NA,NA,NA,1224,1225,1261,NA,1297,NA,1419,1454,NA,NA,1643,1679,1734,1741,NA,1761,1768,NA,1850,NA,NA,NA,1958,NA,NA,NA,NA,2175,NA,2234,2256,2288,NA,2313,2339,NA,2369,NA,2415,2454,2462,2466,2469,2475,2476,2583,2584
14,NA,NA,37,NA,232,NA,247,249,263,294,NA,434,443,NA,495,NA,533,NA,NA,NA,561,581,589,632,NA,657,NA,725,756,772,NA,1018,1065,1067,1092,1099,NA,NA,1200,1223,1230,1262,NA,1297,NA,1426,1502,1543,1622,1643,1676,1734,1741,1760,1761,1786,NA,1850,NA,1883,NA,1975,NA,2015,NA,2156,2175,2211,2254,2256,2288,NA,2313,2339,2340,2365,2413,2415,2454,2462,2466,2469,2475,2478,2583,2584
15,NA,NA,NA,NA,232,NA,247,259,264,NA,NA,434,443,NA,495,NA,533,NA,NA,NA,561,581,587,632,NA,NA,NA,730,756,757,NA,1018,1062,1067,1088,1098,NA,NA,NA,1223,1225,1261,NA,1297,NA,1419,1431,NA,NA,1643,1679,1734,1741,1760,1761,1768,NA,1799,NA,1883,NA,1974,NA,2015,NA,2156,2175,2208,2255,2261,2288,NA,2313,2339,2340,2376,NA,2415,2454,2462,2466,2469,2475,2486,2583,2584
16,NA,NA,31,NA,232,NA,247,259,264,NA,NA,NA,444,NA,NA,NA,NA,536,NA,NA,561,581,583,632,NA,NA,721,731,756,757,NA,1018,1065,1067,1089,1099,NA,NA,NA,NA,1225,1262,1296,1297,NA,1419,1440,NA,NA,1643,1679,1734,NA,1760,1761,1768,NA,1799,NA,1883,NA,1975,NA,2015,NA,2165,NA,2189,2255,2267,2288,NA,NA,2339,2340,2376,2413,2415,NA,2462,NA,NA,NA,2579,NA,NA
17,9,30,31,88,232,NA,247,259,NA,294,295,NA,444,483,NA,511,NA,536,NA,548,567,581,588,632,NA,657,721,738,756,757,1016,1018,1065,1067,1097,1099,1120,NA,1142,NA,1225,1262,1296,1298,1366,1421,1542,1543,1622,NA,1679,NA,NA,1760,1767,1785,1794,1799,NA,1883,1938,1976,2014,2015,NA,2166,NA,2192,2255,2267,2288,NA,NA,2339,2340,2376,2413,2415,2454,NA,NA,NA,NA,2579,NA,NA
18,NA,NA,NA,NA,156,NA,243,NA,264,NA,NA,434,435,NA,NA,NA,533,NA,NA,NA,561,NA,NA,NA,NA,NA,NA,NA,746,757,NA,NA,1029,NA,1076,1098,NA,NA,NA,NA,1225,1261,NA,NA,NA,1419,1431,NA,NA,1623,1644,1731,1741,NA,1761,1768,NA,1850,NA,NA,NA,1939,NA,NA,NA,NA,2175,NA,2224,2256,2288,NA,2313,2314,NA,2369,NA,2415,2454,2462,2466,NA,2475,2476,2583,2585
19,4,29,31,NA,232,NA,247,259,NA,294,NA,NA,444,NA,NA,507,NA,536,NA,NA,567,581,583,632,NA,657,721,738,756,757,NA,1018,1065,1067,1097,1099,NA,NA,1142,NA,1225,1262,1296,1297,NA,1420,1441,1543,NA,1643,1679,NA,NA,1760,1766,1769,NA,1799,NA,1883,NA,1975,NA,2015,NA,2166,NA,2189,2255,2267,NA,NA,NA,2339,2340,2376,2413,NA,NA,NA,NA,NA,NA,2579,NA,NA
20,NA,NA,31,NA,232,NA,247,259,264,294,NA,434,443,NA,495,NA,533,NA,NA,NA,561,581,589,632,NA,NA,NA,725,756,757,NA,1018,1065,1067,1089,1099,NA,NA,1200,1223,1230,1262,NA,1297,NA,1419,1501,1543,1622,1643,1677,1734,1741,1760,1761,1771,NA,1850,NA,1883,NA,1974,NA,2015,NA,2156,2175,2208,2254,2256,2288,NA,2313,2339,2340,2365,NA,2415,2454,2462,2466,2469,2475,2476,2583,2584
21,9,30,37,89,232,233,247,259,NA,294,425,NA,450,483,494,514,NA,536,547,548,567,581,591,632,644,657,721,738,756,975,1017,1018,1065,1067,1097,1099,1121,1127,1142,1218,1260,1262,1296,1342,1366,1430,1542,1543,1622,NA,1679,NA,NA,1760,1767,1786,1794,1824,1881,1907,1938,1977,2014,2015,2155,2168,NA,2223,2254,2267,NA,2289,NA,NA,2342,2372,2413,NA,2451,NA,NA,2467,NA,2579,NA,NA
22,NA,NA,NA,NA,138,NA,243,NA,263,NA,NA,434,435,NA,495,NA,533,NA,NA,NA,561,NA,NA,NA,NA,NA,NA,NA,739,772,NA,NA,1029,NA,1068,1098,NA,NA,NA,1224,1230,1261,NA,NA,NA,1419,1454,NA,NA,1630,1644,1721,1741,NA,1761,1776,NA,1850,NA,NA,NA,1939,NA,NA,NA,NA,2175,NA,2224,2256,2288,NA,2307,2315,NA,2365,NA,2415,2454,2462,2466,2469,2475,2476,2583,2584
23,NA,NA,NA,NA,232,NA,247,259,264,NA,NA,434,443,NA,495,NA,533,NA,NA,NA,561,581,583,632,NA,NA,NA,730,756,757,NA,1018,1062,NA,1088,1098,NA,NA,NA,NA,1225,1261,NA,1297,NA,1419,1431,NA,NA,1643,1679,1734,1741,NA,1761,1768,NA,1799,NA,1883,NA,1974,NA,2015,NA,2158,2175,2198,2255,2265,2288,NA,2313,2339,2340,2376,NA,2415,2454,2462,2466,NA,NA,2491,2583,2584
24,9,30,31,77,NA,241,NA,259,NA,294,295,NA,445,483,NA,514,NA,536,NA,548,567,581,591,632,NA,658,721,738,NA,888,1000,1025,1065,1067,NA,1099,1106,1127,1142,NA,1260,1262,1296,1342,1366,1430,1542,1543,1622,NA,NA,NA,NA,1760,1767,1785,1787,1805,NA,1907,1938,NA,2014,2015,NA,2168,NA,2185,NA,2267,NA,NA,NA,NA,2346,NA,2413,NA,NA,NA,NA,NA,NA,2579,NA,NA
25,NA,NA,37,92,232,NA,247,259,263,294,NA,434,445,NA,494,NA,533,536,547,548,567,581,589,632,633,657,721,725,756,773,1017,1018,1065,1067,1097,1099,1125,NA,1200,1222,1242,1262,1296,1297,1366,1427,1542,1543,1622,1643,1677,1734,1741,1760,1764,1786,1795,1850,1870,1883,NA,1977,2014,2015,2154,2156,2175,2211,2254,2267,2288,NA,2313,2339,2340,2365,2413,2415,2454,2462,2466,2468,2475,2540,NA,NA
26,9,30,76,88,NA,233,NA,259,NA,293,426,NA,466,483,NA,514,NA,536,547,548,567,581,591,632,656,660,721,736,NA,975,1017,1025,NA,1067,NA,NA,1125,1127,1160,NA,1260,NA,1296,1363,1366,1430,1542,1550,1573,NA,NA,NA,NA,1746,1767,NA,1787,1824,1882,1910,1938,1977,2014,2143,2155,2168,NA,2223,NA,NA,NA,2299,NA,NA,2364,NA,2413,NA,NA,NA,NA,NA,NA,2579,NA,NA
27,NA,NA,76,120,NA,240,NA,256,NA,292,426,NA,NA,468,NA,NA,NA,536,547,560,NA,581,591,627,656,714,721,735,NA,975,1017,1026,NA,1066,NA,NA,1126,1127,1169,NA,1260,NA,1296,1365,1371,1430,NA,1557,1563,NA,NA,NA,NA,1742,NA,NA,1787,1824,1882,1910,1938,NA,2010,2143,2155,2168,NA,2223,NA,NA,NA,2301,NA,NA,2364,NA,2413,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,9,30,55,77,NA,242,NA,259,NA,293,296,NA,NA,481,NA,514,NA,534,NA,560,NA,580,591,593,NA,669,721,738,NA,975,976,1028,NA,1067,NA,NA,1100,1128,1142,NA,1260,NA,1296,1363,1366,NA,NA,1544,1573,NA,NA,NA,NA,1757,NA,NA,1787,1818,NA,1933,1934,NA,1979,2143,NA,2168,NA,2176,NA,NA,NA,2301,NA,NA,2364,NA,2393,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,37,101,232,NA,247,249,263,294,NA,434,451,NA,494,NA,533,NA,547,548,567,581,589,632,633,657,NA,724,756,785,NA,1018,1065,1067,1097,1099,1126,NA,1205,1222,1248,1262,NA,1297,1366,1427,1542,1543,1622,1643,1676,1734,1741,1760,1764,1786,1796,1850,1867,1883,NA,1977,2014,2015,2152,2156,2175,2223,2254,2256,2288,NA,2313,2339,2340,2365,2413,2415,2454,2462,2466,2468,2475,2539,NA,NA
30,9,30,76,77,NA,242,NA,259,NA,293,425,NA,NA,483,NA,514,NA,536,547,560,NA,581,591,627,656,669,721,736,NA,975,1017,1026,NA,1067,NA,NA,1108,1127,1147,NA,1260,NA,1296,1363,1366,1430,1542,1555,1570,NA,NA,NA,NA,1742,1767,NA,1787,1824,1882,1933,1938,NA,2003,2143,2155,2168,NA,2223,NA,NA,NA,2301,NA,NA,2364,NA,2413,NA,NA,NA,NA,NA,NA,2579,NA,NA
31,9,30,31,89,232,NA,247,259,NA,294,295,NA,445,483,494,512,NA,536,NA,548,567,581,589,632,NA,657,721,738,756,757,1016,1018,1065,1067,1097,1099,1120,NA,1142,1219,1260,1262,1296,1298,1366,1430,1542,1543,1622,1643,1679,NA,NA,1760,1767,1785,1794,1805,NA,1883,1938,1976,2014,2015,NA,2166,NA,2208,2255,2267,2288,NA,NA,2339,2340,2376,2413,2415,2454,NA,NA,2468,NA,2579,NA,NA
32,NA,NA,76,120,NA,233,NA,253,NA,292,426,NA,NA,468,NA,NA,NA,536,547,560,NA,NA,NA,632,656,714,721,735,NA,975,1017,NA,NA,1066,NA,NA,1126,1127,1216,NA,1260,NA,1296,1365,1388,NA,NA,1557,1562,NA,NA,NA,NA,1742,NA,NA,1790,NA,1882,1910,1938,NA,2011,2142,2155,2168,NA,2223,NA,NA,NA,2301,NA,NA,2364,NA,2413,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,9,30,31,77,NA,NA,NA,259,NA,294,295,NA,NA,483,NA,511,NA,536,NA,548,NA,581,591,614,NA,658,721,738,NA,757,999,1020,1065,1067,NA,1099,1106,NA,1142,NA,1260,1262,1296,1342,1366,1430,1542,1543,1622,NA,NA,NA,NA,1760,1767,1785,1787,1805,NA,1883,1938,NA,2004,2015,NA,2168,NA,2179,NA,2267,NA,NA,NA,NA,2340,2376,2412,NA,NA,NA,NA,NA,NA,2579,NA,NA
34,NA,29,31,NA,232,NA,247,NA,NA,NA,NA,NA,444,NA,NA,498,NA,536,NA,NA,561,574,583,632,NA,NA,721,738,756,757,NA,1018,1065,NA,1089,1099,NA,NA,NA,NA,1225,1262,1296,1297,NA,1419,1440,NA,NA,1643,1679,1734,NA,NA,1761,1768,NA,1799,NA,1883,NA,1975,NA,2015,NA,2165,NA,2180,2255,2267,NA,NA,NA,2339,2340,2376,2413,NA,NA,NA,NA,NA,NA,2579,NA,NA
35,NA,NA,37,102,223,NA,247,248,263,268,NA,434,466,NA,494,NA,533,NA,547,548,566,NA,NA,NA,633,657,NA,722,740,786,NA,NA,1065,1066,1097,1099,NA,NA,1215,1222,1247,1262,NA,1297,1366,1427,1526,1543,1622,1643,1657,1734,1741,1760,1764,1786,1797,1850,1862,NA,NA,1978,NA,2015,2144,2156,2174,2223,2225,2256,2288,NA,2313,2339,NA,2365,NA,2414,2454,2462,2466,2469,2475,2539,2583,2584
36,4,29,31,NA,232,NA,247,259,NA,NA,NA,NA,444,NA,NA,507,NA,536,NA,NA,567,574,583,632,NA,NA,721,738,756,757,NA,1018,1065,1067,NA,1099,NA,NA,1142,NA,1225,1262,1296,1298,NA,1420,1441,NA,NA,NA,1679,NA,NA,1760,1766,1769,NA,1799,NA,1883,NA,1975,NA,2015,NA,2166,NA,2179,2255,2267,NA,NA,NA,2339,2340,2376,2413,NA,NA,NA,NA,NA,NA,2579,NA,NA
37,NA,NA,NA,NA,178,NA,243,NA,263,NA,NA,434,435,NA,495,NA,533,NA,NA,NA,561,NA,NA,NA,NA,NA,NA,NA,739,772,NA,NA,1029,NA,1068,1098,NA,NA,NA,1224,1230,1261,NA,NA,NA,1419,1455,NA,NA,1643,1644,1734,1741,NA,1761,1776,NA,1850,NA,NA,NA,1939,NA,NA,NA,NA,2175,NA,2224,2256,2288,NA,2313,2324,NA,2365,NA,2415,2454,2462,2466,2469,2475,2476,2583,2584
38,NA,NA,NA,NA,232,NA,247,NA,NA,NA,NA,NA,443,NA,NA,NA,NA,NA,NA,NA,561,574,583,632,NA,NA,NA,NA,756,757,NA,1018,1065,NA,1089,1099,NA,NA,NA,NA,1225,1262,NA,NA,NA,1419,1440,NA,NA,1643,1679,1734,NA,NA,1761,1768,NA,1799,NA,1883,NA,1975,NA,NA,NA,NA,NA,2189,2255,2267,NA,NA,NA,2339,2340,2376,2413,NA,NA,NA,NA,NA,NA,2579,NA,NA
39,NA,30,76,78,NA,242,NA,259,NA,292,426,NA,NA,483,NA,514,NA,536,547,560,NA,581,591,627,656,711,721,735,NA,975,1017,1026,NA,1067,NA,NA,1124,1127,1160,NA,1260,NA,1296,1364,1370,1430,NA,1557,1566,NA,NA,NA,NA,1742,NA,NA,1787,1824,1882,1933,1938,NA,2000,2143,2155,2168,NA,2223,NA,NA,NA,2301,NA,NA,2364,NA,2413,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,37,92,232,NA,247,249,263,294,NA,434,444,NA,495,NA,533,NA,NA,548,567,581,589,632,NA,657,NA,724,756,773,NA,1018,1065,1067,1097,1099,NA,NA,1205,1222,1241,1262,NA,1297,NA,1426,1506,1543,1622,1643,1676,1734,1741,1760,1761,1786,NA,1850,NA,1883,NA,1976,NA,2015,NA,2156,2175,2221,2254,2256,2288,NA,2313,2339,2340,2365,2413,2415,2454,2462,2466,2469,2475,2512,2583,2584
41,9,30,31,88,232,NA,247,259,NA,294,295,NA,444,483,NA,511,NA,536,NA,548,567,581,588,632,NA,657,721,738,756,757,1016,1018,1065,1067,1097,1099,1120,NA,1142,NA,1225,1262,1296,1297,NA,1421,1542,1543,1622,1643,1679,NA,NA,1760,1766,1785,NA,1799,NA,1883,1938,1976,2014,2015,NA,2166,NA,2192,2255,2267,2288,NA,NA,2339,2340,2376,2413,2415,2454,NA,NA,NA,NA,2579,NA,NA
42,NA,NA,75,92,232,233,247,259,NA,294,426,NA,466,483,494,514,533,536,547,548,567,581,591,632,640,657,721,735,756,975,1017,1018,1065,1067,1097,1099,1126,1127,1200,1218,1260,1262,1296,1365,1366,1430,1542,1543,1622,NA,1677,NA,NA,1760,1767,1786,1795,1846,1871,1908,1938,1978,2014,2019,2155,2157,NA,2223,2254,2267,2288,2289,NA,NA,2342,2365,2413,2415,2451,NA,NA,2467,NA,2560,NA,NA
43,9,30,31,77,NA,242,NA,259,NA,294,295,NA,NA,481,NA,514,NA,536,NA,548,NA,580,591,594,NA,660,721,738,NA,975,987,1028,NA,1067,NA,NA,1101,1127,1142,NA,1260,NA,1296,1346,1366,1430,1542,1543,1622,NA,NA,NA,NA,1757,1767,NA,1787,1805,NA,1933,1934,NA,1979,2049,NA,2168,NA,2176,NA,NA,NA,NA,NA,NA,2364,NA,2394,NA,NA,NA,NA,NA,NA,2579,NA,NA
44,4,29,31,NA,232,NA,247,259,NA,NA,NA,NA,444,NA,NA,499,NA,536,NA,NA,567,574,583,632,NA,NA,721,738,756,757,NA,1018,1065,NA,NA,1099,NA,NA,NA,NA,1225,1262,1296,1297,NA,1420,1440,NA,NA,1643,1679,NA,NA,NA,1761,1768,NA,1799,NA,1883,NA,1975,NA,2015,NA,2166,NA,2179,2255,2267,NA,NA,NA,2339,2340,2376,2413,NA,NA,NA,NA,NA,NA,2579,NA,NA
