"wellN","PN1","PN2","PN3","PN4","PN5","PN6","PN7","PN8","PN9","PN10","PN11","PN12","PN13","PN14","PN15","PN16","PN17","PN18","PN19","PN20","PN21","PN22","PN23","PN24","PN25","PN26","PN27","PN28","PN29","PN30","PN31","PN32","PN33","PN34","PN35","PN36","PN37","PN38","PN39","PN40","PN41","PN42","PN43","PN44","PN45","PN46","PN47","PN48","PN49","PN50","PN51","PN52","PN53","PN54","PN55","PN56","PN57","PN58","PN59","PN60","PN61","PN62","PN63","PN64","PN65","PN66","PN67","PN68","PN69","PN70","PN71","PN72","PN73","PN74","PN75","PN76","PN77","PN78","PN79","PN80","PN81","PN82","PN83","PN84","PN85","PN86"
91,9,30,66,77,NA,242,NA,259,NA,293,342,NA,NA,478,NA,514,NA,534,NA,560,NA,581,591,593,656,711,721,736,NA,975,976,1028,NA,1067,NA,NA,1100,1129,1146,NA,NA,NA,1296,1363,1415,NA,NA,1557,1566,NA,NA,NA,NA,1742,NA,NA,1787,NA,1882,1933,1934,NA,1979,2143,NA,2168,NA,2223,NA,NA,NA,2301,NA,NA,2364,NA,2405,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,9,12,31,NA,NA,NA,NA,NA,NA,NA,296,NA,NA,481,NA,496,NA,534,NA,NA,NA,568,582,592,NA,NA,715,NA,NA,NA,976,1028,NA,NA,NA,NA,1100,NA,1142,NA,NA,NA,1263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1933,1934,NA,1979,NA,NA,NA,NA,2176,NA,NA,NA,NA,NA,NA,2363,NA,2377,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,NA,NA,NA,143,NA,243,NA,263,NA,NA,434,435,NA,495,NA,533,NA,NA,NA,561,NA,NA,NA,NA,NA,NA,NA,739,NA,NA,NA,1029,NA,1068,1098,NA,NA,NA,1224,1230,1261,NA,NA,NA,1419,1431,NA,NA,1623,1644,1702,1741,NA,1761,1768,NA,1850,NA,NA,NA,1939,NA,NA,NA,NA,2175,NA,2224,2256,2288,NA,2307,2314,NA,2368,NA,2415,2454,2462,2463,2469,2475,2476,2583,2584
94,NA,30,76,78,NA,242,NA,259,NA,292,421,NA,NA,467,NA,514,NA,534,547,560,NA,581,591,626,656,713,721,735,NA,975,991,1026,NA,1067,NA,NA,1100,1129,1155,NA,NA,NA,1296,1364,1415,NA,NA,1557,1563,NA,NA,NA,NA,1742,NA,NA,1787,NA,1882,1933,1935,NA,1986,2143,2155,2168,NA,2223,NA,NA,NA,2301,NA,NA,2364,NA,2406,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,NA,NA,NA,NA,222,NA,247,248,263,268,NA,434,465,NA,495,NA,533,NA,546,NA,565,NA,NA,NA,633,657,NA,722,739,786,NA,NA,1029,1066,1097,1099,NA,NA,1215,1223,1242,1262,NA,1297,NA,1427,1506,1543,1622,1643,1656,1734,1741,1760,1762,1786,NA,1850,1856,NA,NA,1950,NA,2015,2144,2156,2171,NA,2224,2256,2275,NA,2313,2339,NA,2365,NA,2414,2454,2462,2466,2469,2475,2478,2583,2584
96,NA,NA,31,91,232,NA,247,259,264,294,NA,434,444,NA,495,NA,533,536,NA,NA,567,581,589,632,NA,657,721,730,756,757,NA,1018,1065,1067,1097,1099,NA,NA,1186,1222,1225,1262,1296,1297,NA,1419,1515,1543,1622,1643,1679,1734,1741,1760,1761,1785,NA,1849,NA,1883,NA,1975,NA,2015,NA,2156,2175,2208,2255,2267,2288,NA,2313,2339,2340,2372,2413,2415,2454,2462,2466,2469,2475,2570,2583,2584
97,4,29,31,NA,232,NA,247,259,NA,NA,NA,NA,444,NA,NA,506,NA,536,NA,NA,567,581,583,632,NA,NA,721,738,756,757,NA,1018,1065,1067,1092,1099,NA,NA,1142,NA,1225,1262,1296,1297,NA,1420,1441,NA,NA,1643,1679,1734,NA,1760,1761,1769,NA,1799,NA,1883,NA,1975,NA,2015,NA,2166,NA,2180,2255,2267,NA,NA,NA,2339,2340,2376,2413,NA,NA,NA,NA,NA,NA,2579,NA,NA
98,NA,NA,76,114,NA,233,NA,256,NA,292,426,NA,NA,468,NA,NA,NA,536,547,560,NA,581,591,627,656,713,721,735,NA,975,1017,1026,NA,1066,NA,NA,1126,1127,1169,NA,1260,NA,1296,1365,1371,1430,NA,1557,1563,NA,NA,NA,NA,1742,NA,NA,1787,1824,1882,1910,1938,NA,2010,2143,2155,2168,NA,2223,NA,NA,NA,2301,NA,NA,2364,NA,2413,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,9,30,37,89,232,233,247,259,NA,294,425,NA,450,483,494,514,NA,536,547,548,567,581,591,632,641,657,721,738,756,963,1017,1018,1065,1067,1097,1099,1125,1127,1184,1218,1260,1262,1296,1341,1366,1430,1542,1543,1622,NA,1677,NA,NA,1760,1767,1786,1794,1824,1871,1883,1938,1977,2014,2015,2155,2168,NA,2223,2254,2267,2288,2289,NA,NA,2341,2365,2413,2415,2451,NA,NA,2467,NA,2579,NA,NA
100,9,30,66,77,NA,242,NA,259,NA,293,336,NA,NA,476,NA,514,NA,534,NA,560,NA,581,591,593,656,712,721,736,NA,975,976,1028,NA,1067,NA,NA,1100,1129,1146,NA,NA,NA,1296,1363,1415,NA,NA,1557,1566,NA,NA,NA,NA,1742,NA,NA,1787,NA,1882,1933,1934,NA,1979,2143,NA,2168,NA,2223,NA,NA,NA,2301,NA,NA,2364,NA,2394,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,31,NA,232,NA,247,259,264,294,NA,434,443,NA,495,NA,533,NA,NA,NA,561,581,589,632,NA,657,NA,730,756,757,NA,1018,1065,1067,1092,1099,NA,NA,1200,1222,1230,1262,NA,1297,NA,1419,1501,1543,1622,1643,1679,1734,1741,1760,1761,1783,NA,1850,NA,1883,NA,1975,NA,2015,NA,2156,2175,2208,2254,2256,2288,NA,2313,2339,2340,2365,2413,2415,2454,2462,2466,2469,2475,2490,2583,2584
102,NA,NA,76,118,NA,233,NA,253,NA,285,426,NA,466,483,484,NA,NA,536,547,548,567,NA,591,632,644,692,721,734,NA,975,1017,1018,NA,1066,NA,NA,1126,1127,1216,1217,1260,NA,1296,1365,1366,1430,1542,1557,1566,NA,NA,NA,NA,1742,1767,NA,1797,1846,1882,1909,1938,1978,2014,2140,2155,2168,NA,2223,NA,NA,NA,2289,NA,NA,2364,NA,2413,NA,2450,NA,NA,2467,NA,2560,NA,NA
103,9,30,31,89,232,NA,247,259,NA,294,NA,NA,444,NA,NA,511,NA,536,NA,NA,567,581,587,632,NA,657,721,738,756,757,NA,1018,1065,1067,1097,1099,1120,NA,1142,NA,1225,1262,1296,1297,NA,1420,1541,1543,1622,1643,1679,1734,NA,1760,1766,1769,NA,1799,NA,1883,NA,1975,2014,2015,NA,2165,NA,2192,2255,2267,2288,NA,NA,2339,2340,2376,2413,2415,2454,NA,NA,NA,NA,2579,NA,NA
104,9,11,31,NA,NA,NA,NA,NA,NA,NA,296,NA,NA,481,NA,496,NA,534,NA,NA,NA,568,582,592,NA,NA,715,NA,NA,NA,976,1028,NA,NA,NA,NA,1100,NA,1142,NA,NA,NA,1263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1933,1934,NA,1979,NA,NA,NA,NA,2176,NA,NA,NA,NA,NA,NA,2363,NA,2377,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,9,30,31,77,NA,NA,NA,259,NA,294,295,NA,NA,483,NA,507,NA,536,NA,548,NA,570,582,607,NA,658,719,738,NA,757,987,1028,NA,1067,NA,1099,1101,NA,1142,NA,1260,1262,1295,1342,NA,1430,1542,1543,NA,NA,NA,NA,NA,1760,1767,NA,1787,1805,NA,1886,1938,NA,2003,2015,NA,2168,NA,2176,NA,2267,NA,NA,NA,NA,2344,NA,2379,NA,NA,NA,NA,NA,NA,2579,NA,NA
106,9,30,31,88,232,233,247,259,NA,294,295,NA,445,483,NA,514,NA,536,NA,548,567,581,591,632,NA,657,721,738,756,875,1016,1018,1065,1067,1097,1099,1120,1127,1142,NA,1260,1262,1296,1340,1366,1430,1542,1543,1622,NA,1679,NA,NA,1760,1767,1785,1794,1805,NA,1883,1938,1977,2014,2015,NA,2168,NA,2200,2255,2267,NA,NA,NA,NA,2340,2376,2413,NA,2454,NA,NA,NA,NA,2579,NA,NA
107,NA,NA,76,120,NA,233,NA,253,NA,292,426,NA,NA,468,NA,NA,NA,536,547,556,NA,NA,591,632,656,714,721,735,NA,975,1017,1025,NA,1066,NA,NA,1126,1127,1216,NA,1260,NA,1296,1365,1382,NA,NA,1557,1563,NA,NA,NA,NA,1742,NA,NA,1798,1824,1882,1910,1938,NA,2011,2142,2155,2168,NA,2223,NA,NA,NA,2300,NA,NA,2364,NA,2413,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,NA,NA,232,NA,247,NA,264,NA,NA,NA,443,NA,NA,NA,NA,NA,NA,NA,561,574,583,632,NA,NA,NA,NA,756,757,NA,1018,1065,NA,NA,1098,NA,NA,NA,NA,1225,1261,NA,NA,NA,1419,1437,NA,NA,1643,1679,1734,NA,NA,1761,1768,NA,1799,NA,1883,NA,1975,NA,NA,NA,NA,NA,NA,2255,2266,NA,NA,NA,2339,2340,2376,NA,NA,NA,2462,NA,NA,NA,2499,NA,NA
109,9,30,66,77,NA,242,NA,259,NA,293,358,NA,NA,478,NA,514,NA,534,NA,560,NA,581,591,593,656,711,721,736,NA,975,976,1028,NA,1067,NA,NA,1100,1128,1146,NA,NA,NA,1296,1363,1370,NA,NA,1555,1566,NA,NA,NA,NA,1742,NA,NA,1787,NA,1882,1933,1934,NA,1979,2143,NA,2168,NA,2223,NA,NA,NA,2301,NA,NA,2364,NA,2405,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,76,120,NA,233,NA,253,NA,292,426,NA,NA,468,NA,NA,NA,536,547,554,NA,NA,591,632,656,714,721,735,NA,975,1017,1025,NA,1066,NA,NA,1126,1127,1216,NA,1260,NA,1296,1365,1378,1430,NA,1557,1563,NA,NA,NA,NA,1742,1767,NA,1798,1846,1882,1910,1938,NA,2014,2142,2155,2168,NA,2223,NA,NA,NA,2297,NA,NA,2364,NA,2413,NA,NA,NA,NA,NA,NA,2560,NA,NA
111,NA,30,76,77,NA,242,NA,259,NA,292,366,NA,NA,467,NA,514,NA,534,NA,560,NA,581,591,626,656,713,721,735,NA,975,976,1028,NA,1067,NA,NA,1100,1129,1153,NA,NA,NA,1296,1363,1415,NA,NA,1557,1563,NA,NA,NA,NA,1742,NA,NA,1787,NA,1882,1933,1934,NA,1979,2143,2155,2168,NA,2223,NA,NA,NA,2301,NA,NA,2364,NA,2406,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,75,102,232,233,247,248,NA,294,426,434,466,483,484,NA,533,536,547,548,567,581,591,632,633,657,721,722,756,971,1017,1018,1065,1067,1097,1099,1126,1127,1215,1218,1260,1262,1296,1297,1366,1430,1542,1543,1622,NA,1676,NA,1741,1760,1767,1786,1796,1846,1870,1883,1938,1978,2014,2019,2155,2156,NA,2223,2254,2267,2288,2289,2313,2339,2341,2365,2413,2414,2451,NA,NA,2467,2475,2559,NA,NA
113,NA,NA,NA,NA,221,NA,246,248,263,268,NA,434,435,NA,495,NA,533,NA,NA,NA,562,NA,NA,NA,NA,NA,NA,724,739,773,NA,NA,1029,1067,1085,1098,NA,NA,NA,1224,1241,1261,NA,1297,NA,1426,1502,NA,1622,1643,1655,1734,1741,1760,1761,1786,NA,1850,NA,NA,NA,1939,NA,2015,NA,2156,2174,NA,2224,2256,2288,NA,2313,2339,NA,2365,NA,2415,2454,2462,2466,2469,2475,2476,2583,2584
114,NA,NA,NA,NA,187,NA,244,NA,264,NA,NA,434,435,NA,495,NA,533,NA,NA,NA,561,NA,NA,NA,NA,NA,NA,NA,755,757,NA,NA,1041,NA,1081,1098,NA,NA,NA,1224,1225,1261,NA,1297,NA,1419,1431,NA,NA,1643,1679,1734,1741,NA,1761,1768,NA,1850,NA,NA,NA,1958,NA,NA,NA,NA,2175,NA,2239,2256,2288,NA,2313,2329,NA,2369,NA,2415,2454,2462,2466,2469,2475,2476,2583,2584
115,NA,NA,NA,NA,232,NA,247,259,264,NA,NA,434,443,NA,495,NA,533,NA,NA,NA,561,581,587,632,NA,NA,NA,730,756,757,NA,1018,1062,1067,1089,1098,NA,NA,NA,1223,1225,1261,NA,1297,NA,1419,1431,NA,NA,1643,1679,1734,1741,1760,1761,1768,NA,1799,NA,1883,NA,1974,NA,2015,NA,2158,2175,2208,2255,2263,2288,NA,2313,2339,2340,2376,NA,2415,2454,2462,2466,2469,2475,2487,2583,2584
116,NA,NA,NA,NA,232,NA,247,259,264,294,NA,434,435,NA,495,NA,533,NA,NA,NA,561,NA,NA,NA,NA,NA,NA,725,756,757,NA,NA,1048,1067,1084,1098,NA,NA,NA,1223,1230,1261,NA,1297,NA,1419,1455,NA,1622,1643,1677,1734,1741,1760,1761,1768,NA,1850,NA,NA,NA,1958,NA,2015,NA,2156,2175,NA,2236,2256,2288,NA,2313,2339,NA,2365,NA,2415,2454,2462,2466,2469,2475,2476,2583,2584
117,NA,NA,46,92,232,233,247,259,NA,294,426,NA,451,483,494,514,533,536,547,548,567,581,591,632,633,657,721,738,756,963,1017,1018,1065,1067,1097,1099,1125,1127,1200,1218,1260,1262,1296,1298,1366,1430,1542,1543,1622,NA,1677,NA,NA,1760,1767,1786,1795,1846,1871,1883,1938,1977,2014,2015,2155,2159,NA,2223,2254,2267,2288,2289,2313,2339,2341,2365,2413,2415,2451,NA,NA,2467,NA,2560,NA,NA
118,NA,NA,NA,NA,222,NA,247,248,263,268,NA,434,465,NA,495,NA,533,NA,547,NA,565,NA,NA,NA,633,657,NA,722,739,785,NA,NA,1029,1066,1097,1099,NA,NA,1215,1223,1242,1262,NA,1297,NA,1427,1502,1543,1622,1643,1656,1734,1741,1760,1761,1786,NA,1850,1856,NA,NA,1950,NA,2015,2144,2156,2174,NA,2224,2256,2288,NA,2313,2339,NA,2365,NA,2414,2454,2462,2466,2469,2475,2478,2583,2584
119,9,30,65,77,NA,242,NA,259,NA,293,312,NA,NA,478,NA,514,NA,534,NA,560,NA,580,591,593,656,711,721,736,NA,975,976,1028,NA,1067,NA,NA,1100,1129,1142,NA,NA,NA,1296,1363,1370,NA,NA,1555,1570,NA,NA,NA,NA,1746,NA,NA,1787,NA,NA,1933,1934,NA,1979,2143,NA,2168,NA,2223,NA,NA,NA,2301,NA,NA,2364,NA,2394,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,37,92,232,233,247,259,NA,294,426,434,450,483,494,NA,533,536,547,548,567,581,591,632,633,657,721,730,756,836,1017,1018,1065,1067,1097,1099,1125,1127,1200,1218,1260,1262,1296,1297,1366,1430,1542,1543,1622,1643,1677,1734,1741,1760,1767,1786,1795,1846,1870,1883,1938,1977,2014,2015,2155,2156,NA,2223,2254,2267,2288,2289,2313,2339,2340,2365,2413,2415,2454,NA,NA,2467,2475,2560,NA,NA
121,9,30,32,77,NA,242,NA,259,NA,NA,296,NA,NA,481,NA,514,NA,534,NA,560,NA,570,591,592,NA,660,715,738,NA,975,976,1028,NA,1067,NA,NA,1100,1128,1142,NA,1260,NA,1292,1363,1366,NA,NA,1544,NA,NA,NA,NA,NA,1757,NA,NA,1787,1805,NA,1933,1934,NA,1979,2049,NA,2168,NA,2176,NA,NA,NA,NA,NA,NA,2364,NA,2377,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,9,30,57,77,NA,242,NA,259,NA,293,296,NA,NA,480,NA,514,NA,534,NA,560,NA,581,591,593,656,669,721,736,NA,975,976,1028,NA,1067,NA,NA,1100,1128,1142,NA,1260,NA,1296,1363,1366,NA,NA,1555,1570,NA,NA,NA,NA,1757,NA,NA,1787,1819,NA,1933,1934,NA,1979,2143,NA,2168,NA,2223,NA,NA,NA,2301,NA,NA,2364,NA,2394,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,9,30,73,83,NA,233,NA,259,NA,293,425,NA,451,483,NA,514,NA,536,547,548,567,581,591,632,645,660,721,736,NA,975,1017,1025,NA,1067,NA,NA,1120,1127,1142,NA,1260,NA,1296,1363,1366,1430,1542,1544,1622,NA,NA,NA,NA,1757,1767,1786,1787,1824,1882,1910,1938,1977,2014,2057,2155,2168,NA,2223,NA,NA,NA,2297,NA,NA,2364,NA,2413,NA,NA,NA,NA,NA,NA,2579,NA,NA
124,NA,30,76,86,NA,233,NA,259,NA,292,426,NA,NA,483,NA,514,NA,536,547,560,NA,581,591,627,656,678,721,735,NA,975,1017,1025,NA,1067,NA,NA,1126,1127,1168,NA,1260,NA,1296,1364,1366,1430,1542,1557,1570,NA,NA,NA,NA,1742,1767,NA,1787,1824,1882,1910,1938,NA,2014,2143,2155,2168,NA,2223,NA,NA,NA,2300,NA,NA,2364,NA,2413,NA,NA,NA,NA,NA,NA,2579,NA,NA
125,9,30,37,89,232,233,247,259,NA,294,425,NA,450,483,494,514,NA,536,547,548,567,581,591,632,641,657,721,738,756,888,1017,1018,1065,1067,1097,1099,1125,1127,1142,1218,1260,1262,1296,1341,1366,1430,1542,1543,1622,NA,1677,NA,NA,1760,1767,1786,1794,1824,1871,1883,1938,1977,2014,2015,2155,2168,NA,2223,2254,2267,2288,2289,NA,NA,2341,2365,2413,2415,2454,NA,NA,2467,NA,2579,NA,NA
126,9,30,31,77,NA,NA,NA,259,NA,294,295,NA,NA,483,NA,511,NA,536,NA,548,NA,577,591,607,NA,658,721,738,NA,875,987,1028,NA,1067,NA,1099,1101,NA,1142,NA,1260,1262,1296,1342,1366,1430,1542,1543,NA,NA,NA,NA,NA,1760,1767,NA,1787,1805,NA,1892,1938,NA,1979,2015,NA,2168,NA,2176,NA,2267,NA,NA,NA,NA,2345,NA,2383,NA,NA,NA,NA,NA,NA,2579,NA,NA
127,9,30,31,83,232,NA,247,259,NA,294,295,NA,445,483,NA,511,NA,536,NA,548,567,581,588,632,NA,658,721,738,756,757,1002,1018,1065,1067,NA,1099,1108,NA,1142,NA,1260,1262,1296,1340,1366,1421,1542,1543,1622,NA,1679,NA,NA,1760,1767,1785,1794,1805,NA,1883,1938,1976,2014,2015,NA,2168,NA,2180,2255,2267,NA,NA,NA,NA,2340,2376,2413,NA,NA,NA,NA,NA,NA,2579,NA,NA
128,NA,NA,NA,NA,192,NA,244,NA,264,NA,NA,434,435,NA,495,NA,533,NA,NA,NA,561,NA,NA,NA,NA,NA,NA,NA,755,757,NA,NA,1041,NA,1081,1098,NA,NA,NA,1224,1225,1261,NA,1297,NA,1419,1431,NA,NA,1643,1679,1734,1741,NA,1761,1768,NA,1850,NA,NA,NA,1958,NA,NA,NA,NA,2175,NA,2238,2256,2288,NA,2313,2329,NA,2369,NA,2415,2454,2462,2466,2469,2475,2476,2583,2584
129,NA,NA,76,120,NA,233,NA,256,NA,292,426,NA,NA,468,NA,NA,NA,536,547,560,NA,581,591,632,656,714,721,735,NA,975,1017,1025,NA,1066,NA,NA,1126,1127,1216,NA,1260,NA,1296,1365,1371,1430,NA,1557,1563,NA,NA,NA,NA,1742,1767,NA,1788,1824,1882,1910,1938,NA,2011,2142,2155,2168,NA,2223,NA,NA,NA,2300,NA,NA,2364,NA,2413,NA,NA,NA,NA,NA,NA,2560,NA,NA
130,NA,NA,NA,NA,221,NA,247,248,NA,265,NA,433,465,NA,484,NA,532,NA,546,NA,566,NA,NA,NA,633,657,NA,722,739,823,NA,NA,1029,1066,1097,1099,NA,NA,1215,1222,1248,1262,NA,1297,NA,1427,1526,1543,1618,1643,1655,1734,1741,1753,1764,1786,NA,1850,1851,NA,NA,1950,NA,2019,2144,2156,2169,NA,2224,2256,2268,NA,2313,2339,NA,2365,NA,2414,2416,NA,2466,2469,2474,2478,NA,NA
131,9,30,72,77,NA,242,NA,259,NA,293,415,NA,NA,483,NA,514,NA,536,547,560,NA,581,591,626,656,669,721,736,NA,975,1016,1026,NA,1067,NA,NA,1105,1127,1146,NA,1260,NA,1296,1363,1366,1430,1542,1555,1570,NA,NA,NA,NA,1742,1767,NA,1787,1824,1882,1933,1938,NA,1997,2143,2155,2168,NA,2223,NA,NA,NA,2301,NA,NA,2364,NA,2413,NA,NA,NA,NA,NA,NA,2579,NA,NA
132,9,30,31,77,NA,NA,NA,259,NA,294,295,NA,NA,483,NA,512,NA,536,NA,548,NA,580,591,607,NA,659,721,738,NA,888,987,1028,NA,1067,NA,1099,1101,NA,1142,NA,1260,1262,1296,1342,1366,1430,1542,1543,1622,NA,NA,NA,NA,1760,1767,NA,1787,1805,NA,1897,1938,NA,1979,2015,NA,2168,NA,2176,NA,2267,NA,NA,NA,NA,2348,NA,2389,NA,NA,NA,NA,NA,NA,2579,NA,NA
133,9,30,66,77,NA,242,NA,259,NA,293,338,NA,NA,478,NA,514,NA,534,NA,560,NA,581,591,593,656,711,721,736,NA,975,976,1028,NA,1067,NA,NA,1100,1129,1143,NA,NA,NA,1296,1363,1415,NA,NA,1555,1566,NA,NA,NA,NA,1742,NA,NA,1787,NA,1882,1933,1934,NA,1979,2143,NA,2168,NA,2223,NA,NA,NA,2301,NA,NA,2364,NA,2405,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,4,29,31,NA,NA,NA,NA,259,NA,NA,295,NA,NA,NA,NA,499,NA,536,NA,NA,NA,568,582,614,NA,NA,717,738,NA,757,999,1019,1065,NA,NA,1099,1106,NA,1142,NA,1225,1262,1285,1341,NA,1421,1542,NA,NA,NA,NA,NA,NA,NA,1766,1769,NA,1799,NA,1883,NA,NA,NA,2015,NA,2168,NA,2179,2255,2267,NA,NA,NA,NA,2340,2376,2379,NA,NA,NA,NA,NA,NA,2579,NA,NA
135,NA,NA,76,102,232,233,NA,248,NA,294,426,NA,466,483,484,NA,533,536,547,548,567,581,591,632,633,657,721,722,756,974,1017,1018,1065,1066,1097,1099,1126,1127,1215,1218,1260,1262,1296,1314,1366,1430,1542,1543,1622,NA,NA,NA,NA,1747,1767,1786,1796,1846,1870,1908,1938,1978,2014,2092,2155,2156,NA,2223,2254,2267,2288,2289,2313,NA,2359,2365,2413,2414,2451,NA,NA,2467,NA,2560,NA,NA
136,9,30,66,77,NA,242,NA,259,NA,293,408,NA,NA,483,NA,514,NA,536,547,549,NA,581,591,626,656,669,721,736,NA,975,1007,1026,NA,1067,NA,NA,1105,1127,1142,NA,1260,NA,1296,1363,1366,1430,1542,1553,1572,NA,NA,NA,NA,1756,1767,NA,1787,1823,1882,1933,1938,NA,1997,2143,2155,2168,NA,2223,NA,NA,NA,2300,NA,NA,2364,NA,2413,NA,NA,NA,NA,NA,NA,2579,NA,NA
137,9,30,31,88,232,233,247,259,NA,294,295,NA,445,483,NA,512,NA,536,NA,548,567,581,589,632,NA,657,721,738,756,757,1016,1018,1065,1067,1097,1099,1109,1127,1142,NA,1260,1262,1296,1340,1366,1430,1542,1543,1622,NA,1679,NA,NA,1760,1767,1785,1794,1805,NA,1883,1938,1977,2014,2015,NA,2168,NA,2192,2255,2267,NA,NA,NA,NA,2340,2376,2413,NA,NA,NA,NA,NA,NA,2579,NA,NA
138,NA,NA,NA,NA,232,NA,247,NA,NA,NA,NA,NA,444,NA,NA,NA,NA,536,NA,NA,561,574,582,632,NA,NA,721,NA,756,757,NA,1018,1065,NA,NA,1099,NA,NA,NA,NA,1225,1262,1295,NA,NA,1419,1440,NA,NA,1643,1679,1734,NA,NA,1761,1768,NA,1799,NA,1883,NA,1975,NA,NA,NA,NA,NA,2179,2255,2267,NA,NA,NA,2339,2340,2376,2413,NA,NA,NA,NA,NA,NA,2579,NA,NA
